celltypes,traits,Escore,pEscore,trait category,tissue
Endothelial (0.9%),WHRadjBMI,2.13,0.03,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),WHRadjBMI,0.385,0.72,colon-related,colon (immune enhancer)
Fibroblast (1.2%),WHRadjBMI,2.66,0.01,colon-related,colon (immune enhancer)
Mcells (0.4%),WHRadjBMI,0,1,colon-related,colon (immune enhancer)
Others (0.6%),WHRadjBMI,0.06,0.28,colon-related,colon (immune enhancer)
Langerhans (0.5%),Eczema,3.781,0.00447,skin-related,skin
Others (0.6%),Eczema,0,0.0864,skin-related,skin
Langerhans (0.5%),Pigment.Sunburn,0,0.42,skin-related,skin
Others (0.6%),Pigment.Sunburn,0,0.305,skin-related,skin
Adipocyte (0.2%),Breast.Cancer,0,0.316,adipose-related,adipose
Fibroblast (0.9%),Breast.Cancer,0,0.203,adipose-related,adipose
Muscle (0.4%),Breast.Cancer,0,0.317,adipose-related,adipose
Others (0.2%),Breast.Cancer,0,0.421,adipose-related,adipose
Adipocyte (0.2%),BMI/WHR,9.561,0.00014,adipose-related,adipose
Fibroblast (0.9%),BMI/WHR,1.785,3.73E-07,adipose-related,adipose
Muscle (0.4%),BMI/WHR,4.509,0.000421,adipose-related,adipose
Others (0.2%),BMI/WHR,0,0.0553,adipose-related,adipose
Adipocyte (0.2%),T2D,0,0.0953,adipose-related,adipose
Fibroblast (0.9%),T2D,0,0.627,adipose-related,adipose
Muscle (0.4%),T2D,0,0.311,adipose-related,adipose
Others (0.2%),T2D,0,0.424,adipose-related,adipose
Adipocyte (0.2%),BMR,0,0.202,adipose-related,adipose
Fibroblast (0.9%),BMR,0,0.088,adipose-related,adipose
Muscle (0.4%),BMR,1.375,0.00418,adipose-related,adipose
Others (0.2%),BMR,0.293,0.111,adipose-related,adipose
Adipocyte (0.2%),Cholesterol,0,0.0371,adipose-related,adipose
Fibroblast (0.9%),Cholesterol,0,0.137,adipose-related,adipose
Muscle (0.4%),Cholesterol,0,0.177,adipose-related,adipose
Others (0.2%),Cholesterol,0,0.261,adipose-related,adipose
